settlement_period,forecast_wind_mw,national_demand_mw,embedded_solar_generation_mw,price_gbp
2019-07-02 20:00:00,3099.0,29766,23,40.0
2019-07-02 21:00:00,2875.0,28793,0,34.98
2019-07-02 22:00:00,2719.0,25563,0,39.0
2019-07-02 23:00:00,2691.0,22824,0,33.3
2019-07-03 00:00:00,2600.0,21526,0,33.1
2019-07-03 01:00:00,2427.0,21173,0,33.33
2019-07-03 02:00:00,2261.0,20670,0,33.1
2019-07-03 03:00:00,2129.0,20587,0,33.1
2019-07-03 04:00:00,2046.0,20960,72,35.27
2019-07-03 05:00:00,1986.0,24085,793,41.33
2019-07-03 06:00:00,2037.0,28299,2040,44.29
2019-07-03 07:00:00,2097.0,28865,3630,50.56
2019-07-03 08:00:00,2129.0,28841,5250,50.0
2019-07-03 09:00:00,2159.0,28222,6470,38.0
2019-07-03 10:00:00,2126.0,28350,6780,41.3
2019-07-03 11:00:00,2225.0,28868,6990,39.22
2019-07-03 12:00:00,2369.0,28313,7470,33.4
2019-07-03 13:00:00,2508.0,27578,7410,33.0
2019-07-03 14:00:00,2642.0,27259,7120,33.38
2019-07-03 15:00:00,2732.0,28455,5950,44.0
2019-07-03 16:00:00,2722.0,30207,4700,50.0
2019-07-03 17:00:00,2845.0,30910,3050,50.31
2019-07-03 18:00:00,2935.0,31237,1580,51.95
2019-07-03 19:00:00,2877.0,30959,574,45.0
2019-07-03 20:00:00,2828.0,29866,23,38.91
2019-07-03 21:00:00,2762.0,29081,0,35.91
2019-07-03 22:00:00,2633.0,25630,0,43.23
2019-07-03 23:00:00,2325.0,22790,0,39.16
2019-07-04 00:00:00,2260.0,21429,0,34.61
2019-07-04 01:00:00,2285.0,20719,0,33.42
2019-07-04 02:00:00,2344.0,20193,0,33.14
2019-07-04 03:00:00,2418.0,20174,0,31.91
2019-07-04 04:00:00,2455.0,20267,65,33.2
2019-07-04 05:00:00,2507.0,23367,722,39.4
2019-07-04 06:00:00,2608.0,27637,1890,49.44
2019-07-04 07:00:00,2778.0,28208,3460,53.43
2019-07-04 08:00:00,2966.0,27753,5160,49.0
2019-07-04 09:00:00,3140.0,26802,6870,35.0
2019-07-04 10:00:00,3255.0,26192,7940,34.0
2019-07-04 11:00:00,3395.0,25911,8740,33.0
2019-07-04 12:00:00,3525.0,25193,8890,32.17
2019-07-04 13:00:00,3636.0,25256,8310,32.15
2019-07-04 14:00:00,3716.0,25625,7150,32.19
2019-07-04 15:00:00,3713.0,27463,5670,34.8
2019-07-04 16:00:00,3583.0,29294,4000,45.0
2019-07-04 17:00:00,3564.0,30121,2640,50.08
2019-07-04 18:00:00,3524.0,30664,1300,52.63
2019-07-04 19:00:00,3399.0,30676,466,51.35
2019-07-04 20:00:00,3300.0,29877,13,46.57
2019-07-04 21:00:00,3213.0,28361,0,39.57
2019-07-04 22:00:00,3091.0,25037,0,38.5
2019-07-04 23:00:00,3072.0,22402,0,32.78
2019-07-05 00:00:00,2910.0,20988,0,32.71
2019-07-05 01:00:00,2785.0,20353,0,31.96
2019-07-05 02:00:00,2681.0,19811,0,31.93
2019-07-05 03:00:00,2520.0,19722,0,31.93
2019-07-05 04:00:00,2305.0,20003,26,32.0
2019-07-05 05:00:00,2128.0,23243,552,39.65
2019-07-05 06:00:00,1988.0,27773,1640,46.07
2019-07-05 07:00:00,1926.0,28395,3050,56.95
2019-07-05 08:00:00,1920.0,28238,4540,53.0
2019-07-05 09:00:00,1998.0,27438,5900,45.59
2019-07-05 10:00:00,2180.0,27285,6930,41.0
2019-07-05 11:00:00,2501.0,27103,7190,39.0
2019-07-05 12:00:00,2910.0,26769,7600,32.39
2019-07-05 13:00:00,3382.0,26659,7380,32.0
2019-07-05 14:00:00,3760.0,26395,6350,34.0
2019-07-05 15:00:00,4073.0,27340,5150,35.0
2019-07-05 16:00:00,4293.0,28661,3810,41.3
2019-07-05 17:00:00,4458.0,29410,2400,43.0
2019-07-05 18:00:00,4586.0,29399,1290,42.39
2019-07-05 19:00:00,4539.0,28721,506,42.29
2019-07-05 20:00:00,4512.0,27794,21,38.89
2019-07-05 21:00:00,4457.0,27096,0,35.21
2019-07-05 22:00:00,4267.0,24478,0,42.6
2019-07-05 23:00:00,4427.0,21770,0,37.6
2019-07-06 00:00:00,4282.0,20364,0,34.01
2019-07-06 01:00:00,4275.0,19456,0,30.47
2019-07-06 02:00:00,4306.0,18777,0,30.01
2019-07-06 03:00:00,4294.0,18474,0,27.7
2019-07-06 04:00:00,4064.0,18516,53,27.0
2019-07-06 05:00:00,3793.0,19999,606,30.0
2019-07-06 06:00:00,3517.0,22093,1440,32.15
2019-07-06 07:00:00,3146.0,24352,2340,34.0
2019-07-06 08:00:00,2722.0,25587,3250,38.2
2019-07-06 09:00:00,2366.0,25839,3960,40.08
2019-07-06 10:00:00,2029.0,25773,4260,46.0
2019-07-06 11:00:00,1785.0,25783,4790,44.0
2019-07-06 12:00:00,1629.0,25328,4820,37.0
2019-07-06 13:00:00,1639.0,24733,4560,33.28
2019-07-06 14:00:00,1710.0,24287,3880,32.0
2019-07-06 15:00:00,1838.0,24851,3790,34.92
2019-07-06 16:00:00,2002.0,26613,2610,44.03
2019-07-06 17:00:00,2198.0,26940,1640,47.66
2019-07-06 18:00:00,2355.0,27190,863,48.95
2019-07-06 19:00:00,2243.0,26901,272,46.0
2019-07-06 20:00:00,2150.0,26231,12,45.78
2019-07-06 21:00:00,2006.0,25904,0,40.0
2019-07-06 22:00:00,1684.0,23967,0,43.77
2019-07-06 23:00:00,1480.0,21789,0,39.75
2019-07-07 00:00:00,1280.0,20393,0,34.0
2019-07-07 01:00:00,1127.0,19669,0,35.34
2019-07-07 02:00:00,1066.0,19113,0,34.0
2019-07-07 03:00:00,1059.0,18890,0,31.53
2019-07-07 04:00:00,1117.0,18264,25,29.54
2019-07-07 05:00:00,1188.0,18838,418,30.93
2019-07-07 06:00:00,1290.0,20051,1120,32.0
2019-07-07 07:00:00,1386.0,21783,2100,34.02
2019-07-07 08:00:00,1440.0,23178,3560,42.0
2019-07-07 09:00:00,1454.0,23599,5120,41.1
2019-07-07 10:00:00,1442.0,23720,5870,44.0
2019-07-07 11:00:00,1439.0,23727,6380,46.6
2019-07-07 12:00:00,1450.0,23025,6660,34.0
2019-07-07 13:00:00,1482.0,22279,6660,32.0
2019-07-07 14:00:00,1516.0,22279,5890,34.96
2019-07-07 15:00:00,1510.0,23611,5100,38.8
2019-07-07 16:00:00,1385.0,25752,3530,47.64
2019-07-07 17:00:00,1311.0,26884,2310,51.3
2019-07-07 18:00:00,1220.0,27612,1260,53.0
2019-07-07 19:00:00,1069.0,27706,489,53.0
2019-07-07 20:00:00,941.0,27093,18,50.5
2019-07-07 21:00:00,848.0,26534,0,40.5
2019-07-07 22:00:00,794.0,23667,0,41.0
2019-07-07 23:00:00,1248.0,21297,0,34.7
2019-07-08 00:00:00,1403.0,20251,0,32.0
2019-07-08 01:00:00,1379.0,19717,0,30.3
2019-07-08 02:00:00,1366.0,19304,0,30.0
2019-07-08 03:00:00,1357.0,19283,0,29.99
2019-07-08 04:00:00,1301.0,19681,31,31.0
2019-07-08 05:00:00,1232.0,23186,442,38.75
2019-07-08 06:00:00,1164.0,27826,1310,36.98
2019-07-08 07:00:00,1093.0,29915,2590,48.0
2019-07-08 08:00:00,1002.0,29856,3810,51.0
2019-07-08 09:00:00,898.0,29165,4950,49.0
2019-07-08 10:00:00,784.0,28823,5990,48.47
2019-07-08 11:00:00,711.0,28627,6650,48.8
2019-07-08 12:00:00,686.0,28280,7070,42.5
2019-07-08 13:00:00,719.0,27994,6500,34.06
2019-07-08 14:00:00,775.0,28312,5640,35.0
2019-07-08 15:00:00,875.0,29814,4670,47.36
2019-07-08 16:00:00,1013.0,30922,3010,57.2
2019-07-08 17:00:00,1145.0,31220,1700,60.0
2019-07-08 18:00:00,1244.0,31353,820,57.9
2019-07-08 19:00:00,1181.0,31297,208,50.6
2019-07-08 20:00:00,1132.0,30410,4,46.33
2019-07-08 21:00:00,1071.0,28828,0,36.0
2019-07-08 22:00:00,963.0,25149,0,36.76
2019-07-08 23:00:00,716.0,22649,0,33.91
2019-07-09 00:00:00,719.0,21477,0,33.07
2019-07-09 01:00:00,737.0,20972,0,33.04
2019-07-09 02:00:00,770.0,20499,0,32.97
2019-07-09 03:00:00,823.0,20450,0,32.96
2019-07-09 04:00:00,868.0,20905,1,33.42
2019-07-09 05:00:00,884.0,24061,240,38.22
2019-07-09 06:00:00,883.0,28980,776,40.55
2019-07-09 07:00:00,888.0,31201,1520,46.21
2019-07-09 08:00:00,901.0,31210,2570,47.2
2019-07-09 09:00:00,950.0,30930,3680,44.0
2019-07-09 10:00:00,1011.0,30689,4060,46.4
2019-07-09 11:00:00,1067.0,30521,4160,44.03
2019-07-09 12:00:00,1107.0,30322,4150,37.0
2019-07-09 13:00:00,1113.0,30119,3360,36.4
2019-07-09 14:00:00,1107.0,30550,3090,34.2
2019-07-09 15:00:00,1093.0,31808,2810,46.0
2019-07-09 16:00:00,1051.0,32741,2250,51.48
2019-07-09 17:00:00,1043.0,32752,1250,51.19
2019-07-09 18:00:00,1052.0,32151,645,54.99
2019-07-09 19:00:00,1072.0,31423,209,47.68
2019-07-09 20:00:00,1104.0,30353,6,43.25
2019-07-09 21:00:00,1133.0,28682,0,36.3
2019-07-09 22:00:00,1129.0,25032,0,40.0
2019-07-09 23:00:00,1146.0,22414,0,36.07
2019-07-10 00:00:00,1136.0,21261,0,35.2
2019-07-10 01:00:00,1086.0,20633,0,34.0
2019-07-10 02:00:00,1038.0,20202,0,34.0
2019-07-10 03:00:00,993.0,20210,0,33.99
2019-07-10 04:00:00,982.0,20506,4,36.4
2019-07-10 05:00:00,962.0,23692,324,43.06
2019-07-10 06:00:00,933.0,28537,1050,45.17
2019-07-10 07:00:00,933.0,30961,2070,53.9
2019-07-10 08:00:00,948.0,30813,3220,52.1
2019-07-10 09:00:00,960.0,30203,4640,45.01
2019-07-10 10:00:00,963.0,29795,5480,44.0
2019-07-10 11:00:00,977.0,29655,5970,45.03
2019-07-10 12:00:00,989.0,28995,6260,41.28
2019-07-10 13:00:00,995.0,28840,5940,37.0
2019-07-10 14:00:00,998.0,29000,5290,38.0
2019-07-10 15:00:00,1004.0,30177,4150,44.0
2019-07-10 16:00:00,1026.0,31851,3100,50.6
2019-07-10 17:00:00,1082.0,32235,1790,51.7
2019-07-10 18:00:00,1142.0,32010,787,50.0
2019-07-10 19:00:00,1185.0,31420,236,44.49
2019-07-10 20:00:00,1245.0,30678,2,44.0
2019-07-10 21:00:00,1292.0,29116,0,39.2
2019-07-10 22:00:00,1267.0,25771,0,39.9
2019-07-10 23:00:00,1414.0,22922,0,34.92
2019-07-11 00:00:00,1408.0,21807,0,32.94
2019-07-11 01:00:00,1394.0,21062,0,32.48
2019-07-11 02:00:00,1381.0,20479,0,32.44
2019-07-11 03:00:00,1386.0,20549,0,33.31
2019-07-11 04:00:00,1408.0,20787,10,36.96
2019-07-11 05:00:00,1473.0,23807,387,45.0
2019-07-11 06:00:00,1511.0,28543,970,45.16
2019-07-11 07:00:00,1516.0,30846,2010,48.67
2019-07-11 08:00:00,1535.0,29719,3730,47.7
2019-07-11 09:00:00,1552.0,29049,5040,49.74
2019-07-11 10:00:00,1569.0,29659,5160,47.37
2019-07-11 11:00:00,1570.0,29440,5930,46.06
2019-07-11 12:00:00,1596.0,29680,5560,42.98
2019-07-11 13:00:00,1612.0,29412,5480,41.92
2019-07-11 14:00:00,1623.0,29239,5650,42.38
2019-07-11 15:00:00,1590.0,30300,4820,43.4
2019-07-11 16:00:00,1502.0,31465,3260,45.63
2019-07-11 17:00:00,1540.0,31874,2090,48.62
2019-07-11 18:00:00,1585.0,31512,1060,45.14
2019-07-11 19:00:00,1609.0,30538,305,42.69
2019-07-11 20:00:00,1654.0,29772,8,44.0
2019-07-11 21:00:00,1733.0,28791,0,37.0
2019-07-11 22:00:00,1875.0,25395,0,49.18
2019-07-11 23:00:00,1909.0,22678,0,39.36
2019-07-12 00:00:00,2173.0,21368,0,38.41
2019-07-12 01:00:00,2366.0,20546,0,36.93
2019-07-12 02:00:00,2543.0,20264,0,34.92
2019-07-12 03:00:00,2751.0,20272,0,34.95
2019-07-12 04:00:00,2919.0,20404,7,37.47
2019-07-12 05:00:00,3090.0,23124,424,45.4
2019-07-12 06:00:00,3231.0,27588,1370,50.85
2019-07-12 07:00:00,3269.0,29770,2550,52.62
2019-07-12 08:00:00,3302.0,29536,4090,52.0
2019-07-12 09:00:00,3385.0,28692,5200,48.82
2019-07-12 10:00:00,3533.0,28346,5440,46.92
2019-07-12 11:00:00,3689.0,27760,5790,44.64
2019-07-12 12:00:00,3864.0,27881,6470,37.76
2019-07-12 13:00:00,4021.0,27286,6250,35.55
2019-07-12 14:00:00,4148.0,26690,6090,35.82
2019-07-12 15:00:00,4202.0,27239,4990,38.83
2019-07-12 16:00:00,4146.0,28473,3670,47.1
2019-07-12 17:00:00,4197.0,29107,2330,51.28
2019-07-12 18:00:00,4188.0,29238,1290,54.1
2019-07-12 19:00:00,3996.0,28864,378,47.98
2019-07-12 20:00:00,3812.0,28297,8,47.08
2019-07-12 21:00:00,3647.0,27470,0,39.3
2019-07-12 22:00:00,3521.0,24839,0,48.02
2019-07-12 23:00:00,3385.0,22173,0,42.5
2019-07-13 00:00:00,3319.0,20810,0,38.39
2019-07-13 01:00:00,3267.0,20030,0,38.0
2019-07-13 02:00:00,3222.0,19344,0,37.48
2019-07-13 03:00:00,3160.0,19121,0,37.43
2019-07-13 04:00:00,3076.0,18827,6,37.27
2019-07-13 05:00:00,2971.0,19987,301,38.0
2019-07-13 06:00:00,2834.0,22232,828,38.0
2019-07-13 07:00:00,2667.0,24444,1730,44.0
2019-07-13 08:00:00,2533.0,25536,2560,53.88
2019-07-13 09:00:00,2424.0,26221,3230,54.0
2019-07-13 10:00:00,2328.0,26317,3580,53.7
2019-07-13 11:00:00,2254.0,25810,3740,50.31
2019-07-13 12:00:00,2278.0,25512,4430,41.1
2019-07-13 13:00:00,2502.0,24801,4930,38.0
2019-07-13 14:00:00,2767.0,24088,4250,37.22
2019-07-13 15:00:00,3083.0,24644,3840,38.0
2019-07-13 16:00:00,3391.0,26360,2910,47.87
2019-07-13 17:00:00,3487.0,26958,2040,50.39
2019-07-13 18:00:00,3515.0,27142,1130,51.89
2019-07-13 19:00:00,3308.0,26797,403,49.03
2019-07-13 20:00:00,3124.0,26361,12,48.33
2019-07-13 21:00:00,2901.0,26046,0,44.0
2019-07-13 22:00:00,2523.0,23842,0,47.98
2019-07-13 23:00:00,2077.0,21775,0,46.72
2019-07-14 00:00:00,1846.0,20290,0,41.94
2019-07-14 01:00:00,1745.0,19502,0,40.04
2019-07-14 02:00:00,1729.0,18707,0,38.46
2019-07-14 03:00:00,1762.0,18586,0,37.01
2019-07-14 04:00:00,1842.0,18141,2,35.0
2019-07-14 05:00:00,1910.0,18583,281,35.2
2019-07-14 06:00:00,1934.0,19785,1040,35.14
2019-07-14 07:00:00,1869.0,21642,2040,38.0
2019-07-14 08:00:00,1769.0,23268,3140,45.8
2019-07-14 09:00:00,1676.0,24483,4220,51.0
2019-07-14 10:00:00,1598.0,24966,4580,52.8
2019-07-14 11:00:00,1515.0,25276,4670,55.0
2019-07-14 12:00:00,1520.0,24832,4130,43.64
2019-07-14 13:00:00,1652.0,23795,5290,38.0
2019-07-14 14:00:00,1791.0,23690,4880,38.0
2019-07-14 15:00:00,1943.0,24443,4610,41.88
2019-07-14 16:00:00,2083.0,25970,3540,47.28
2019-07-14 17:00:00,2198.0,26536,2500,52.79
2019-07-14 18:00:00,2245.0,27062,1360,54.19
2019-07-14 19:00:00,2060.0,27888,503,52.79
2019-07-14 20:00:00,1886.0,27337,11,51.5
2019-07-14 21:00:00,1709.0,26668,0,46.0
2019-07-14 22:00:00,1508.0,23874,0,44.0
2019-07-14 23:00:00,1366.0,21351,0,38.45
2019-07-15 00:00:00,1319.0,20201,0,38.39
2019-07-15 01:00:00,1335.0,19732,0,37.98
2019-07-15 02:00:00,1363.0,19268,0,37.0
2019-07-15 03:00:00,1377.0,19346,0,36.0
2019-07-15 04:00:00,1391.0,19752,6,39.0
2019-07-15 05:00:00,1386.0,23131,397,45.0
2019-07-15 06:00:00,1316.0,27762,1230,46.13
2019-07-15 07:00:00,1153.0,30151,2220,51.6
2019-07-15 08:00:00,1009.0,30413,3620,55.39
2019-07-15 09:00:00,886.0,29695,4600,51.58
2019-07-15 10:00:00,781.0,29396,5380,50.0
2019-07-15 11:00:00,718.0,29010,6120,48.0
2019-07-15 12:00:00,676.0,28585,6340,40.0
2019-07-15 13:00:00,646.0,28096,6540,38.32
2019-07-15 14:00:00,633.0,28063,5810,42.1
2019-07-15 15:00:00,662.0,29059,5260,52.0
2019-07-15 16:00:00,724.0,30365,4220,65.8
2019-07-15 17:00:00,752.0,31146,2670,71.0
2019-07-15 18:00:00,762.0,31548,1360,66.4
2019-07-15 19:00:00,698.0,31217,393,57.7
2019-07-15 20:00:00,649.0,30281,4,55.72
2019-07-15 21:00:00,608.0,28997,0,45.1
2019-07-15 22:00:00,564.0,25506,0,49.1
2019-07-15 23:00:00,516.0,22859,0,43.0
2019-07-16 00:00:00,521.0,21518,0,40.09
2019-07-16 01:00:00,536.0,20928,0,38.04
2019-07-16 02:00:00,548.0,20527,0,38.8
2019-07-16 03:00:00,561.0,20427,0,38.8
2019-07-16 04:00:00,563.0,20721,22,38.0
2019-07-16 05:00:00,558.0,23734,601,43.47
2019-07-16 06:00:00,543.0,28165,1510,45.5
2019-07-16 07:00:00,546.0,29641,2910,55.4
2019-07-16 08:00:00,573.0,29448,4450,55.01
2019-07-16 09:00:00,615.0,28878,5890,48.53
2019-07-16 10:00:00,669.0,28702,6550,48.57
2019-07-16 11:00:00,763.0,28758,7290,46.9
2019-07-16 12:00:00,842.0,28413,7520,40.58
2019-07-16 13:00:00,916.0,28214,7020,39.77
2019-07-16 14:00:00,986.0,28371,5990,42.0
2019-07-16 15:00:00,981.0,29557,4840,55.0
2019-07-16 16:00:00,862.0,30881,3620,59.9
2019-07-16 17:00:00,868.0,31158,2080,60.95
2019-07-16 18:00:00,875.0,31224,1150,60.76
2019-07-16 19:00:00,853.0,31027,345,55.0
2019-07-16 20:00:00,863.0,30157,6,53.72
2019-07-16 21:00:00,900.0,29185,0,44.92
2019-07-16 22:00:00,939.0,25993,0,49.95
2019-07-16 23:00:00,822.0,23083,0,37.6
2019-07-17 00:00:00,880.0,21744,0,36.95
2019-07-17 01:00:00,908.0,21067,0,36.26
2019-07-17 02:00:00,944.0,20550,0,35.22
2019-07-17 03:00:00,997.0,20475,0,36.34
2019-07-17 04:00:00,1052.0,20777,19,40.64
2019-07-17 05:00:00,1119.0,23774,503,47.04
2019-07-17 06:00:00,1219.0,28241,1560,51.78
2019-07-17 07:00:00,1420.0,29482,2950,57.5
2019-07-17 08:00:00,1664.0,30127,4150,55.93
2019-07-17 09:00:00,1945.0,29511,5180,44.95
2019-07-17 10:00:00,2293.0,29316,6020,41.83
2019-07-17 11:00:00,2671.0,29432,5750,40.1
2019-07-17 12:00:00,3100.0,28730,5730,37.51
2019-07-17 13:00:00,3464.0,28486,4990,37.53
2019-07-17 14:00:00,3758.0,28798,4220,38.51
2019-07-17 15:00:00,4114.0,30449,3350,44.44
2019-07-17 16:00:00,4578.0,31746,1980,48.33
2019-07-17 17:00:00,4722.0,31918,1440,50.2
2019-07-17 18:00:00,4777.0,31626,832,50.96
2019-07-17 19:00:00,4567.0,30894,206,48.0
2019-07-17 20:00:00,4369.0,29888,1,46.88
2019-07-17 21:00:00,4109.0,28127,0,42.36
2019-07-17 22:00:00,3624.0,24423,0,41.9
2019-07-17 23:00:00,2955.0,21856,0,36.81
2019-07-18 00:00:00,2462.0,20599,0,35.4
2019-07-18 01:00:00,2147.0,19940,0,35.03
2019-07-18 02:00:00,999999.0,19577,0,35.01
2019-07-18 03:00:00,1895.0,19786,0,34.5
2019-07-18 04:00:00,1932.0,20160,7,36.12
2019-07-18 05:00:00,2006.0,23442,212,46.1
2019-07-18 06:00:00,2185.0,28204,767,45.63
2019-07-18 07:00:00,2534.0,30169,1630,52.9
2019-07-18 08:00:00,2966.0,30360,2260,49.0
2019-07-18 09:00:00,3341.0,30005,3140,40.53
2019-07-18 10:00:00,3614.0,29569,4220,37.66
2019-07-18 11:00:00,3801.0,29074,5260,36.58
2019-07-18 12:00:00,3925.0,28451,5110,36.19
2019-07-18 13:00:00,3929.0,27580,5910,36.86
2019-07-18 14:00:00,3984.0,27008,5280,36.28
2019-07-18 15:00:00,3974.0,28089,4370,41.84
2019-07-18 16:00:00,3923.0,29245,3730,46.44
2019-07-18 17:00:00,3721.0,29919,2490,50.79
2019-07-18 18:00:00,3575.0,30209,1330,50.33
2019-07-18 19:00:00,3458.0,29971,427,49.0
2019-07-18 20:00:00,3350.0,29306,5,49.29
2019-07-18 21:00:00,3261.0,27934,0,42.0
2019-07-18 22:00:00,3200.0,24912,0,43.1
2019-07-18 23:00:00,2780.0,22178,0,36.83
2019-07-19 00:00:00,2711.0,20854,0,34.25
2019-07-19 01:00:00,2517.0,20230,0,33.87
2019-07-19 02:00:00,2279.0,19742,0,31.02
2019-07-19 03:00:00,2083.0,19695,0,33.1
2019-07-19 04:00:00,1914.0,19882,22,38.77
2019-07-19 05:00:00,1774.0,23067,348,47.05
2019-07-19 06:00:00,1716.0,28083,674,48.59
2019-07-19 07:00:00,1882.0,30832,1130,56.0
2019-07-19 08:00:00,2152.0,31283,1840,60.0
2019-07-19 09:00:00,2501.0,31531,2030,52.8
2019-07-19 10:00:00,2993.0,31441,2390,50.4
2019-07-19 11:00:00,3529.0,31973,2540,44.94
2019-07-19 12:00:00,4032.0,30908,2540,36.93
2019-07-19 13:00:00,4336.0,30211,2620,36.4
2019-07-19 14:00:00,4575.0,29962,1610,36.4
2019-07-19 15:00:00,4906.0,30425,1160,42.61
2019-07-19 16:00:00,5525.0,31360,690,44.69
2019-07-19 17:00:00,5694.0,31293,513,45.04
2019-07-19 18:00:00,5793.0,30442,240,45.09
2019-07-19 19:00:00,5723.0,29140,50,42.95
2019-07-19 20:00:00,5648.0,28057,1,44.52
2019-07-19 21:00:00,5531.0,26720,0,39.52
2019-07-19 22:00:00,5297.0,23866,0,45.67
2019-07-19 23:00:00,4481.0,21405,0,36.1
2019-07-20 00:00:00,4258.0,19851,0,34.12
2019-07-20 01:00:00,4083.0,18968,0,32.95
2019-07-20 02:00:00,3896.0,18379,0,31.81
2019-07-20 03:00:00,3755.0,18027,0,31.5
2019-07-20 04:00:00,3659.0,17888,1,31.96
2019-07-20 05:00:00,3674.0,19129,245,38.9
2019-07-20 06:00:00,3773.0,21061,846,39.97
2019-07-20 07:00:00,3885.0,23461,1680,48.1
2019-07-20 08:00:00,4042.0,24497,2780,52.49
2019-07-20 09:00:00,4215.0,24494,3930,50.01
2019-07-20 10:00:00,4543.0,24381,4950,40.9
2019-07-20 11:00:00,4865.0,23727,5360,35.0
2019-07-20 12:00:00,5226.0,22739,5960,32.5
2019-07-20 13:00:00,5443.0,21562,6130,32.39
2019-07-20 14:00:00,5518.0,20996,5690,29.5
2019-07-20 15:00:00,5434.0,21681,4880,32.94
2019-07-20 16:00:00,5034.0,23408,3470,36.0
2019-07-20 17:00:00,4757.0,24472,2720,45.73
2019-07-20 18:00:00,4469.0,25419,1330,45.2
2019-07-20 19:00:00,4090.0,25236,337,48.0
2019-07-20 20:00:00,3762.0,25017,4,51.32
2019-07-20 21:00:00,3519.0,24648,0,46.32
2019-07-20 22:00:00,3414.0,22679,0,50.0
2019-07-20 23:00:00,3017.0,20730,0,45.0
2019-07-21 00:00:00,2969.0,19521,0,39.51
2019-07-21 01:00:00,2894.0,18819,0,36.9
2019-07-21 02:00:00,2754.0,18134,0,35.3
2019-07-21 03:00:00,2561.0,17859,0,34.94
2019-07-21 04:00:00,2291.0,17505,6,34.0
2019-07-21 05:00:00,2056.0,18016,392,34.9
2019-07-21 06:00:00,1898.0,19249,1410,32.98
2019-07-21 07:00:00,1990.0,20735,2470,37.8
2019-07-21 08:00:00,2126.0,21762,3890,50.0
2019-07-21 09:00:00,2296.0,22700,4800,51.69
2019-07-21 10:00:00,2551.0,23186,4830,44.39
2019-07-21 11:00:00,2829.0,23266,4840,39.4
2019-07-21 12:00:00,3139.0,22964,4920,29.0
2019-07-21 13:00:00,3448.0,22230,5140,24.0
2019-07-21 14:00:00,3757.0,22128,4660,25.84
2019-07-21 15:00:00,4251.0,23094,3590,29.62
2019-07-21 16:00:00,5139.0,24594,3070,35.1
2019-07-21 17:00:00,5739.0,25450,2070,39.25
2019-07-21 18:00:00,6369.0,25783,1080,40.34
2019-07-21 19:00:00,6992.0,25780,270,41.38
2019-07-21 20:00:00,7578.0,25442,1,42.83
2019-07-21 21:00:00,8054.0,24297,0,36.75
2019-07-21 22:00:00,8305.0,21477,0,32.84
2019-07-21 23:00:00,8554.0,18612,0,30.78
2019-07-22 00:00:00,8507.0,17469,0,28.32
2019-07-22 01:00:00,8484.0,16856,0,23.86
2019-07-22 02:00:00,8510.0,16372,0,20.92
2019-07-22 03:00:00,8598.0,16603,0,24.0
